STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LV,Latvia,2020,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LV,Latvia,2023,,20,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,MT,Malta,2006,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,MT,Malta,2009,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,MT,Malta,2012,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,MT,Malta,2014,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,MT,Malta,2017,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,MT,Malta,2020,,18,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,MT,Malta,2023,,18,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,NL,Netherlands,2006,,27,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,NL,Netherlands,2009,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,NL,Netherlands,2012,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,NL,Netherlands,2014,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,NL,Netherlands,2017,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,NL,Netherlands,2020,,11,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,NL,Netherlands,2023,,10,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PL,Poland,2006,,30,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PL,Poland,2009,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PL,Poland,2012,,26,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PL,Poland,2014,,24,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PL,Poland,2017,,26,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PL,Poland,2020,,20,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PL,Poland,2023,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PT,Portugal,2006,,14,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PT,Portugal,2009,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PT,Portugal,2012,,14,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PT,Portugal,2014,,18,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PT,Portugal,2017,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PT,Portugal,2020,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,PT,Portugal,2023,,18,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,RO,Romania,2006,,20,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,RO,Romania,2009,,20,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,RO,Romania,2012,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,RO,Romania,2014,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,RO,Romania,2017,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,RO,Romania,2020,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,RO,Romania,2023,,29,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SE,Sweden,2006,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SE,Sweden,2009,,20,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SE,Sweden,2012,,13,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SE,Sweden,2014,,12,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SE,Sweden,2017,,9,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SE,Sweden,2020,,8,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SE,Sweden,2023,,8,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SI,Slovenia,2006,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SI,Slovenia,2009,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SI,Slovenia,2012,,25,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SI,Slovenia,2014,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SI,Slovenia,2017,,24,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SI,Slovenia,2020,,25,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SI,Slovenia,2023,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SK,Slovakia,2006,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SK,Slovakia,2009,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SK,Slovakia,2012,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SK,Slovakia,2014,,13,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SK,Slovakia,2017,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SK,Slovakia,2020,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,SK,Slovakia,2023,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,UK,United Kingdom,2006,,32,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,UK,United Kingdom,2009,,25,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,UK,United Kingdom,2012,,26,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,UK,United Kingdom,2014,,20,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,UK,United Kingdom,2017,,18,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,UK,United Kingdom,2020,,13,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,AT,Austria,2006,,38,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,AT,Austria,2009,,41,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,AT,Austria,2012,,40,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,AT,Austria,2014,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,AT,Austria,2017,,34,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,AT,Austria,2020,,31,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,AT,Austria,2023,,39,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BE,Belgium,2006,,30,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BE,Belgium,2009,,34,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BE,Belgium,2012,,30,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BE,Belgium,2014,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BE,Belgium,2017,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BE,Belgium,2020,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BE,Belgium,2023,,27,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BG,Bulgaria,2006,,42,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BG,Bulgaria,2009,,49,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BG,Bulgaria,2012,,42,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BG,Bulgaria,2014,,45,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BG,Bulgaria,2017,,45,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BG,Bulgaria,2020,,49,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,BG,Bulgaria,2023,,49,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CY,Cyprus,2006,,48,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CY,Cyprus,2009,,49,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CY,Cyprus,2012,,42,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CY,Cyprus,2014,,44,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CY,Cyprus,2017,,39,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CY,Cyprus,2020,,39,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CY,Cyprus,2023,,33,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CZ,Czechia,2006,,35,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CZ,Czechia,2009,,34,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CZ,Czechia,2012,,35,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CZ,Czechia,2014,,30,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CZ,Czechia,2017,,38,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CZ,Czechia,2020,,35,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,CZ,Czechia,2023,,26,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DE,Germany,2006,,36,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DE,Germany,2009,,31,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DE,Germany,2012,,31,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DE,Germany,2014,,34,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DE,Germany,2017,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DE,Germany,2020,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DE,Germany,2023,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DK,Denmark,2006,,35,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DK,Denmark,2009,,32,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DK,Denmark,2012,,27,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DK,Denmark,2014,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DK,Denmark,2017,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DK,Denmark,2020,,15,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,DK,Denmark,2023,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EE,Estonia,2006,,45,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EE,Estonia,2009,,47,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EE,Estonia,2012,,36,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EE,Estonia,2014,,29,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EE,Estonia,2017,,33,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EE,Estonia,2020,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EE,Estonia,2023,,33,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EL,Greece,2006,,48,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EL,Greece,2009,,46,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EL,Greece,2012,,46,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EL,Greece,2014,,43,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EL,Greece,2017,,41,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EL,Greece,2020,,46,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EL,Greece,2023,,40,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,ES,Spain,2006,,40,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,ES,Spain,2009,,41,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,ES,Spain,2012,,40,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,ES,Spain,2014,,34,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,ES,Spain,2017,,31,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,ES,Spain,2020,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,ES,Spain,2023,,24,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2006,,37,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2009,,34,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,,32,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,,31,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,,30,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EU27_2020,European Union - 27 countries (from 2020),2006,,38,,e,estimated,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EU27_2020,European Union - 27 countries (from 2020),2009,,35,,e,estimated,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EU27_2020,European Union - 27 countries (from 2020),2012,,33,,e,estimated,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EU27_2020,European Union - 27 countries (from 2020),2014,,32,,e,estimated,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,M,Males,PC_POP,Percentage of total population,EU27_2020,European Union - 27 countries (from 2020),2017,,32,,e,estimated,,
